Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",BHS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,7.790487723,7.669092567,8.801101732,8.555662355,7.312191369,7.322070076,6.323979842,6.873154862,6.826480039,6.895675415,6.648288794,5.746490064,4.633562469,3.35679082,3.237926088,2.820812628,2.903283424,3.372592437,3.387152465,3.897808819,3.936291652,3.495873274,2.960196134,2.986211939,3.252515101,3.699317656,4.064087662,4.036937447,4.572753101,4.054578335,3.078110766,3.025903196,3.275796559,2.410776538,2.571060268,2.501061374,3.143164693,3.716879779,3.801239808,3.120917285,3.491093344,2.297641561,2.708346095,2.878984993,2.972027057,2.906997867,3.209081187,3.517676735,3.928019413,4.489516691,3.631054178,4.011625413,4.01672293,4.215151212,
Bosnia and Herzegovina,BIH,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,3.057419777,3.038082878,2.954469683,3.187111306,3.4174954,3.45201391,3.382975174,3.531484932,3.668200008,3.757737097,3.590301478,3.942386353,4.046433394,4.246314862,4.386716815,4.583471505,4.764500707,4.374333466,4.427732487,4.484929239,5.523718196,4.932572483,3.832153848,3.488145162,0.885593325,0.945697611,1.135024718,2.170683737,2.702136962,2.636923908,3.432929361,3.37265441,3.540399455,3.634705373,3.871492473,4.111785373,4.599298299,4.914207918,5.484397387,5.582177817,5.8285093,6.752261881,6.350867126,6.428054931,5.83253783,5.918703235,6.766967953,6.996011879,7.103513434,6.753333475,6.828892609,7.077182798,7.087083695,6.90618394,
Belarus,BLR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,6.64699115,6.602424246,6.996933714,7.590443491,8.164036943,8.723892388,9.06159813,9.320131037,9.64088189,9.915974541,10.22159079,10.34478888,10.37079583,10.35460734,10.23719475,10.16988471,10.145813,10.13658392,9.950759369,9.579370698,10.3570513,9.970571068,8.989357381,7.743921555,6.609171547,5.927604646,6.039262099,6.108733312,5.987462424,5.800430808,5.637284423,5.53815064,5.594093709,5.698798652,6.082724761,6.210433349,6.502945781,6.385859234,6.796946049,6.483535364,6.971619923,6.654615906,6.802944393,6.822615739,6.770249081,6.253707295,6.237135508,6.366536635,6.733822203,6.515507086,6.201055187,6.303376965,6.158015039,5.902586732,
Belize,BLZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.491154254,0.482879362,0.577496872,0.574953537,0.505519367,0.60051999,0.534188837,0.576949966,0.565195764,0.547720888,0.528739436,0.475179116,0.405118389,0.387723373,0.449876284,0.44140272,0.558029053,0.475084336,0.364767668,0.536550777,0.686053879,0.769888794,0.628851783,0.600814768,0.571078419,0.629451471,0.507346298,0.848026636,0.832248982,0.840130611,0.574337933,0.5660704,0.548808831,0.56183183,0.500574188,0.535514476,0.603033229,0.566024992,0.531605561,0.626651398,0.726006651,0.455548155,0.485027541,0.598606082,0.583223233,0.690365473,0.711259785,0.75937428,0.648561645,0.695904144,0.560371739,0.621227988,0.649810172,0.677440855,
Bermuda,BMU,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,2.662880823,2.63653126,3.200575725,3.220262154,2.863012666,3.461386437,3.132869761,3.452608679,3.445565309,3.4026571,3.353641496,2.842750523,2.796624193,2.875294375,3.090503725,2.993861055,2.916495196,4.411268106,5.141184148,6.345288733,4.386803106,3.930394592,3.083534508,3.417437432,3.363516573,3.363236233,3.412301674,3.483058311,3.538976566,3.556704404,2.441917141,2.401926714,2.663255125,2.740999583,2.763967708,2.964392212,3.685902537,4.397714648,4.404423381,3.848029576,4.847391134,2.405347308,2.790434591,3.111334822,4.278361063,3.631980335,4.909454838,4.485828431,4.88790713,5.590653127,4.900438011,5.121581487,5.133670018,5.417478129,
Bolivia,BOL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.658495297,0.803137053,0.936350885,0.852388905,0.793433516,0.882309604,0.974432398,0.914714288,1.018763571,0.886100835,0.864192815,0.899507805,0.917085294,0.924271352,0.826696772,0.797155942,0.727236211,0.739477018,0.783994401,0.883773532,0.92306717,0.947421181,0.999887488,1.172617936,1.241335614,1.10122626,1.045035638,1.244469203,1.223507511,1.048901121,0.952868855,0.906196645,0.950860949,0.995922967,1.026163135,1.060737201,1.131416916,1.237533502,1.302800223,1.362592381,1.451384725,1.55374532,1.619038843,1.692742072,1.792340376,1.809835125,1.908994796,1.918051314,1.906404105,1.883109684,1.56940003,1.827095773,1.882678651,1.944347505,
Brazil,BRA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.121168756,1.090404059,1.160327674,1.317278892,1.388732052,1.453501508,1.559381886,1.590576616,1.679971604,1.751864012,1.708837049,1.541790316,1.491630113,1.399408215,1.392730907,1.461473862,1.568158829,1.57990708,1.58365271,1.576563239,1.521319544,1.550639998,1.547246007,1.590238673,1.62470342,1.730985709,1.83068839,1.915534154,1.942224935,1.956967959,2.007818926,1.992685212,1.968645049,1.918139431,1.999386419,1.998953901,2.001783994,2.084554568,2.167915896,2.006775293,2.270340839,2.373464072,2.528103067,2.636096755,2.729587192,2.566447178,2.373948318,2.415682843,2.284095173,2.256514253,2.144261931,2.414654212,2.277221548,2.271017071,
Barbados,BRB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.022106204,1.022201888,1.235289877,1.218031176,1.085027734,1.305464318,1.218968987,1.332135789,1.371491268,1.375020396,1.371638492,1.358068736,1.292004978,1.347286529,1.608739997,1.950590259,2.101956994,1.982672507,2.029383581,2.308714535,2.380676149,2.263535526,2.192363995,2.080244572,2.020869964,2.065723041,2.018041512,2.396033416,2.635690225,2.759059413,2.245643223,2.155282462,2.29681845,2.401270243,2.363654049,2.405975304,2.588499344,2.475966501,2.904141335,2.913290749,2.980275611,2.459992975,2.323624782,2.631948571,2.399514277,2.581812968,2.76682952,2.435655368,2.632957027,2.966497989,2.384113483,2.683707429,2.691291381,2.820044203,
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,14.97950243,13.56573691,15.49135306,18.1496787,18.18402159,18.1008414,20.21368279,19.99917295,19.95608518,17.53444702,21.24592313,17.30259354,18.66676759,19.68780068,18.44411583,17.58047497,15.99858717,15.93816813,16.84467007,16.10310243,16.84345769,18.69601974,19.86851419,19.53561925,19.33816981,19.96462851,20.47566683,21.29095012,18.38436545,18.81024761,18.60953851,17.58418455,16.3420063,18.61486223,17.76311875,16.74180031,23.62537466,22.06739234,23.57799112,20.83584447,18.80881498,19.6828155,18.79464539,18.94202849,19.45194961,17.44408023,18.47489499,18.18833011,18.34151801,17.17561218,22.1359219,21.57570713,20.7490612,21.17032611,
Bhutan,BTN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.113766012,0.116224065,0.122023593,0.124083639,0.122193371,0.117006706,0.117836667,0.120263814,0.122642464,0.122375954,0.119518971,0.174617494,0.168221672,0.165458887,0.157269717,0.162276354,0.158489789,0.238272745,0.24004194,0.236233102,0.307490238,0.314113081,0.32296365,0.360031947,0.466548962,0.587785521,0.655084696,0.680154001,0.698587196,0.691236725,0.682233611,0.711696579,0.754313279,0.752905532,0.739381195,0.783392384,0.811718562,0.823262962,0.820425701,1.135610414,1.276737663,1.55079739,1.461356041,1.516118758,1.530814757,1.761636903,1.897799873,2.047366223,2.362459675,2.568041798,2.255696709,2.411914753,2.467237109,2.526370671,
